,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
151,AP,Ampco-Pittsburgh Corporation,10.15,125480000,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap
152,APH,Amphenol Corporation,82.57,25220000000,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph
153,AXR,AMREP Corporation,7.27,58880000,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr
154,AME,"AMTEK, Inc.",73.54,17030000000,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame
155,AFSI^A,"AmTrust Financial Services, Inc.",17.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^a
156,AFSI^B,"AmTrust Financial Services, Inc.",18.036,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^b
157,AFSI^C,"AmTrust Financial Services, Inc.",18.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^c
158,AFSI^D,"AmTrust Financial Services, Inc.",18.85,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^d
159,AFSI^E,"AmTrust Financial Services, Inc.",21.06,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^e
160,AFSI^F,"AmTrust Financial Services, Inc.",17.67,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^f
161,AFSS,"AmTrust Financial Services, Inc.",23.228,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afss
162,AFST,"AmTrust Financial Services, Inc.",23.78,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afst
163,AEUA,Anadarko Petroleum Corporation,28.95,n/a,2015,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aeua
164,APC,Anadarko Petroleum Corporation,58.86,30330000000,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc
165,ANDV,Andeavor,106.9,16360000000,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/andv
166,ANDX,Andeavor Logistics LP,44.91,9750000000,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx
167,AU,AngloGold Ashanti Limited,9.29,3810000000,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au
168,BUD,Anheuser-Busch Inbev SA,107.94,2.09E+11,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud
169,AXE,Anixter International Inc.,74.7,2490000000,n/a,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/axe
170,NLY,Annaly Capital Management Inc,10.48,12150000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly
171,NLY^C,Annaly Capital Management Inc,25.44,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^c
172,NLY^D,Annaly Capital Management Inc,25.48,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^d
173,NLY^F,Annaly Capital Management Inc,25.46,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^f
174,NLY^G,Annaly Capital Management Inc,24.41,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^g
175,AMGP,Antero Midstream GP LP,15.68,2920000000,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amgp
176,AM,Antero Midstream Partners LP,24.71,4620000000,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am
177,AR,Antero Resources Corporation,20.11,6370000000,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar
178,ANTM,"Anthem, Inc.",224.78,57510000000,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm
180,ANH,Anworth Mortgage Asset  Corporation,4.84,475340000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh
181,ANH^A,Anworth Mortgage Asset  Corporation,26.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a
182,ANH^B,Anworth Mortgage Asset  Corporation,25.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b
183,ANH^C,Anworth Mortgage Asset  Corporation,25.16,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^c
184,AON,Aon plc,138.2,34020000000,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon
185,APA,Apache Corporation,38.34,14620000000,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
186,AIV,Apartment Investment and Management Company,41.07,6460000000,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv
187,AIV^A,Apartment Investment and Management Company,25.8301,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aiv^a
188,ARI,Apollo Commercial Real Estate Finance,17.93,1930000000,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ari
189,ARI^C,Apollo Commercial Real Estate Finance,25.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ari^c
190,APO,"Apollo Global Management, LLC",29.62,12120000000,2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo
191,APO^A,"Apollo Global Management, LLC",24.89,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^a
192,APO^B,"Apollo Global Management, LLC",24.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^b
193,AIY,Apollo Investment Corporation,25.27,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aiy
194,AFT,Apollo Senior Floating Rate Fund Inc.,17.07,265830000,2011,n/a,n/a,https://www.nasdaq.com/symbol/aft
195,AIF,Apollo Tactical Income Fund Inc.,15.8,228530000,2013,n/a,n/a,https://www.nasdaq.com/symbol/aif
196,APLE,"Apple Hospitality REIT, Inc.",17.51,4030000000,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aple
197,AIT,"Applied Industrial Technologies, Inc.",71.05,2750000000,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/ait
198,ATR,"AptarGroup, Inc.",88.5,5520000000,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/atr
