,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
149,AAL,"American Airlines Group, Inc.",50.29,23790000000,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
150,ACSF,"American Capital Senior Floating, Ltd.",11.125,111250000,2014,n/a,n/a,https://www.nasdaq.com/symbol/acsf
151,AETI,"American Electric Technologies, Inc.",0.89,7780000,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti
152,AMNB,"American National Bankshares, Inc.",37.5,325330000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
153,ANAT,American National Insurance Company,116.3,3130000000,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat
154,AOBC,American Outdoor Brands Corporation,10.73,580810000,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc
155,APEI,"American Public Education, Inc.",42.3,693350000,2007,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei
156,ARII,"American Railcar Industries, Inc.",36.3,692740000,2006,Capital Goods,Railroads,https://www.nasdaq.com/symbol/arii
157,AMRB,American River Bankshares,15.5,93790000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb
158,AMSWA,"American Software, Inc.",13.23,402280000,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
159,AMSC,American Superconductor Corporation,5.85,122480000,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc
160,AMWD,American Woodmark Corporation,98.9,1730000000,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
161,CRMT,"America&#39;s Car-Mart, Inc.",50.3,348000000,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt
162,ABCB,Ameris Bancorp,52,1990000000,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
163,AMSF,"AMERISAFE, Inc.",52.75,1020000000,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf
164,ASRV,AmeriServ Financial Inc.,4,72260000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv
165,ASRVP,AmeriServ Financial Inc.,27.3,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp
166,ATLO,Ames National Corporation,27.6,256980000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo
167,AMGN,Amgen Inc.,168.14,1.21E+11,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
168,FOLD,"Amicus Therapeutics, Inc.",13.13,2450000000,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fold
169,AMKR,"Amkor Technology, Inc.",9.52,2280000000,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr
170,AMPH,"Amphastar Pharmaceuticals, Inc.",19.01,881120000,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph
171,IBUY,Amplify Online Retail ETF,44.36,277250000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibuy
172,ASYS,"Amtech Systems, Inc.",7.31,108880000,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asys
173,AFSI,"AmTrust Financial Services, Inc.",12.34,2420000000,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afsi
174,AMRS,"Amyris, Inc.",6.79,292200000,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs
175,ADI,"Analog Devices, Inc.",88.31,32660000000,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi
176,ALOG,Analogic Corporation,95.35,1190000000,1972,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/alog
177,ANAB,"AnaptysBio, Inc.",85.51,2040000000,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab
178,AVXL,Anavex Life Sciences Corp.,2.36,105190000,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/avxl
179,ANCB,Anchor Bancorp,24.65,61230000,2011,Finance,Banks,https://www.nasdaq.com/symbol/ancb
180,ANGI,ANGI Homeservices Inc.,13.32,6370000000,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/angi
181,ANGO,"AngioDynamics, Inc.",18.88,693750000,2004,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ango
182,ANIP,"ANI Pharmaceuticals, Inc.",57.06,665440000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anip
183,ANIK,Anika Therapeutics Inc.,45.65,670780000,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/anik
184,ANSS,"ANSYS, Inc.",153.51,12880000000,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/anss
185,ATRS,"Antares Pharma, Inc.",2.11,330820000,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atrs
186,ANTH,"Anthera Pharmaceuticals, Inc.",0.3178,7440000,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anth
187,APLS,"Apellis Pharmaceuticals, Inc.",23.25,1170000000,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/apls
